,AT1_1,AT1_2,AT1_3,AT2_1,AT2_2,AT2_3,Ciliated_1,Ciliated_2,Ciliated_3,Club_1,Club_2,Club_3,EC.aerocyte_1,EC.aerocyte_2,EC.aerocyte_3,EC.gCap_1,EC.gCap_2,EC.gCap_3,EC.vascular_1,EC.vascular_2,EC.vascular_3,EC.lymphatic_1,EC.lymphatic_2,EC.lymphatic_3,Pericyte_1,Pericyte_2,Pericyte_3,Fib.WNT2.Palpha_1,Fib.WNT2.Palpha_2,Fib.WNT2.Palpha_3,MANC_1,MANC_2,MANC_3,SMC_1,SMC_2,SMC_3,Mesothelial_1,Mesothelial_2,Mesothelial_3,T_1,T_2,T_3,B_1,B_2,B_3,NK_1,NK_2,NK_3,CD103..cDC1_1,CD103..cDC1_2,CD103..cDC1_3,CD11b..cDC2_1,CD11b..cDC2_2,CD11b..cDC2_3,Neutrophil_1,Neutrophil_2,Neutrophil_3,Monocyte_1,Monocyte_2,Monocyte_3,aM_1,aM_2,aM_3,iM_1,iM_2,iM_3
Adnp,237.9280718,297.0527712,416.467731,318.5055093,312.8727042,354.7903273,766.3070113,656.1855039,626.4186175,664.1072197,719.4307779,664.9436092,368.2246934,339.052842,403.2800618,303.5649235,244.1535764,295.3432683,334.9876867,294.2659131,285.4536487,197.2599764,175.2142334,156.6846296,337.9939305,221.228993,286.0748926,505.1670761,468.180955,468.3605783,346.2986205,314.843596,401.2354377,317.5133471,307.9281291,215.8178215,400.8651141,327.3424692,314.740817,257.7386099,253.7311198,232.1906207,259.5303869,179.3829976,135.9631393,219.556447,213.3895331,212.3892361,572.785789,429.0489743,492.1924084,363.3559893,376.6510349,331.2366391,127.6295686,144.6782571,127.171771,348.550077,422.7345928,422.6957299,365.995271,577.9164885,463.1084548,257.4438859,342.8038465,324.3267118
Adnp2,38.88251068,20.62268306,39.77279634,0,0,34.2622993,59.38399215,47.06098908,41.59242186,0,0,0,36.88291145,94.2330114,0,24.99387931,11.84957886,39.71907005,22.13989041,23.75633869,22.95603118,28.34350306,19.12437799,23.00000375,26.00335027,0,30.79197073,64.13116294,56.68150872,58.63282737,47.36412012,60.63816225,60.22395616,0,0,27.98465955,104.6311911,43.85794397,49.00031674,54.12796846,25.76232617,59.61931453,37.52645931,30.5028851,18.17285448,32.18159529,41.90680517,28.87746932,63.00797001,50.87829137,38.25626371,27.9357363,49.1328043,28.37428983,33.29390048,26.54887824,23.44665673,38.54487107,45.6710196,42.47125844,35.80708244,93.00465658,94.66517312,31.3054884,51.07642419,25.22329553
Aebp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.99611659,77.60791275,0,32.21899104,0,0,0,0,0,167.2033034,166.8786713,96.86944804,104.2135255,117.1248798,147.2915736,0,0,0,100.7753157,108.6747525,131.0325453,119.2209054,94.08812656,149.5819338,67.31896364,95.41930089,64.44268455
Aff1,0,49.19534533,205.0413503,30.62264787,0,0,56.27571402,82.55173581,82.48208238,0,262.2130776,0,95.70872401,134.2766232,0,0,48.73389872,0,123.395763,25.13454962,7.883383321,23.69139102,15.39268694,0,0,0,0,22.46608516,0,55.13100292,0,24.29666178,58.60421025,33.80438937,0,0,27.45417429,30.11000009,0,47.4994301,37.54563639,19.18962997,35.43536957,71.3040276,0,89.11453369,40.20259571,53.85229029,176.3198105,116.1854264,111.9588459,56.4083856,39.52900943,55.19009918,33.18303877,5.69348789,19.21717419,35.81952326,84.96189533,63.92182144,90.93517818,201.5583479,154.8401568,46.1444378,53.91739464,49.01449757
Aff3,0,0,0,0,0,0,0,0,0,0,0,0,24.47573437,0,97.38017554,95.31032865,45.02928989,69.40046248,0,0,0,0,0,0,84.59022157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.93293843,32.56991118,16.15413154,83.35953037,55.99590465,26.22415337,30.65688259,26.02966629,0,32.21017726,0,67.15959806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aff4,65.83612295,66.02463233,160.9478574,59.21410801,60.25009176,568.0022336,262.4621285,205.1627722,203.510061,146.9065152,167.507072,203.4275662,83.82258439,87.0831428,74.37543061,69.50266455,85.35102743,67.17338417,23.92249697,21.02121848,33.61470181,58.06520892,51.755548,18.23349648,82.09726025,0,173.311241,107.2104729,76.26187462,94.34123884,90.13743997,55.78342609,80.94563789,0,70.46038428,29.30610692,77.86563551,77.57207242,62.36604939,36.12915125,19.8721213,25.48664143,48.142362,24.67651145,22.64247498,23.65512557,0,13.21048813,77.4632958,46.57301903,52.9486977,68.54595345,32.0095296,63.52591147,50.26801042,67.83950421,36.63060658,54.77450512,74.59930943,108.6826148,73.40518773,191.9397065,149.1296249,44.38919123,63.40162747,63.78302051
Ahctf1,384.1743173,489.8051407,877.1975335,647.5422881,654.0127719,655.77253,1439.414676,1155.885801,1172.18144,1349.991987,1372.839424,1312.896868,497.3369833,491.0791009,502.950671,705.2233077,492.6097395,608.835826,490.6384469,424.283303,415.2584929,403.9262491,319.509218,326.7417785,667.0185065,498.5339609,600.829991,904.6474356,975.5915481,875.7146455,555.0595049,622.7904879,824.3038492,623.5479581,594.7449483,478.2582445,817.423784,607.0528095,538.5201138,589.5625405,642.50646,557.8500007,491.8542997,338.5300815,231.2272144,497.4315468,411.7852236,456.1441697,947.1509534,802.3636577,761.8851229,582.4257064,583.9274915,594.3468186,345.7217309,254.4122077,341.3303436,485.6836785,571.9862139,568.7994562,896.5213551,1462.189276,1255.789854,586.9699976,803.7050509,753.2539982
Ahr,117.8173122,159.6853674,106.5368046,0,0,0,401.10626,389.7988565,399.7469625,291.4138201,459.4629486,196.4530064,423.7635163,475.7181672,460.4011492,347.0759709,197.8354113,361.9920512,333.8347543,251.0986795,259.695923,215.9938037,205.2338978,179.5773107,45.33529326,217.4940796,252.7595664,162.3115486,201.5692678,161.4104711,89.47158628,216.7911118,231.5846185,0,0,0,75.98694286,141.8515589,94.38711022,47.31817702,25.77846271,27.33426485,0,10.31345643,32.56417075,0,0,0,811.6701786,505.8063614,472.5311438,255.1518575,239.5291185,183.3255394,0,0,0,327.400629,388.7966155,405.3599863,0,0,0,196.9182781,90.94635255,168.8318461
Akna,0,0,0,1434.99235,0,0,275.278261,328.806199,263.2111269,8.931720102,19.62180357,56.12260244,1606.171886,1635.921369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.616049,0,0,0,0,0,0,0,112.3316267,128.4518326,102.8381603,132.0417585,79.46223703,71.93641824,113.0031505,131.7645891,184.723249,261.3577294,218.4722448,246.022307,138.0878087,147.0287667,149.6022774,126.2810196,171.1158236,143.7481911,130.8543188,123.971866,97.90991778,64.65226012,110.0619381,81.62245266,61.05332379,72.15632074,64.45099466
Ar,62220.72218,0,8101.488666,19249.50039,36239.0473,0,34709.01766,0,11467.10797,646346.1964,25900.0268,52409.76412,1626988.772,905357.121,0,1204.926223,899.8974985,432.2633424,0,0,0,22970.06562,6753.110411,0,11338.64456,12048.63689,4045.116938,27133.25811,12942.26012,10528.93352,19661.9285,18698.00517,6654.807476,24839.85234,3793.9069,50807.84945,7250.678731,12988.08638,7829.670885,28224.17598,41606.64384,34505.25119,0,0,30392.59669,71557.12112,53802.8988,54160.12004,0,35283.90208,32320.82982,51643.43842,47900.08652,45333.34769,18006.64737,0,21351.98808,36433.13722,21178.51854,0,15646.22213,72985.16133,45830.70217,7642.369794,10604.50977,15757.65017
Arid1a,396.533461,453.0544986,688.0484262,442.1317558,409.8910025,462.8447994,1151.150737,987.1105378,965.4642188,983.083467,1085.663469,970.5858419,719.164406,660.6512975,635.5680417,707.6429766,510.2982471,632.9497929,544.5526182,434.8807611,445.3239328,289.6469683,276.8308088,265.1759036,454.0357332,303.2316622,362.5196292,599.7432378,614.3913653,578.8231886,398.9857466,506.4329163,578.853303,310.7772967,328.9405611,390.5544802,524.0586675,384.1656108,394.1767248,703.6103963,796.7954788,703.8599917,589.3007245,475.2201129,397.1829657,615.0841175,548.2524446,566.7483074,1375.386128,1167.667871,1136.786944,935.1693207,822.2878891,855.6758609,500.062839,518.883261,487.8532355,1091.019696,1278.145322,1413.927627,810.8789866,1257.961235,1025.672024,597.3012369,779.4017528,689.6720357
Arid1b,365.6136234,456.592228,708.018609,322.5909926,299.7993976,370.0355535,701.9784662,636.817258,592.3587227,663.9434831,735.1136537,600.5248575,294.7951915,256.8437302,297.4920139,311.0797305,241.7620087,264.7112365,307.5872937,266.9952964,280.5375367,222.0926401,199.8191123,188.5525838,445.9075365,322.5041855,372.0428203,1203.822622,1261.591604,1174.853684,553.9348143,583.1945767,737.8192733,501.6517225,444.6169802,411.496593,510.1628721,495.3145887,515.4967439,347.7621261,321.7775322,317.4906432,404.8839695,291.0976566,203.9618879,355.3360678,310.891794,314.8250611,713.1774153,591.7165477,570.1195819,428.9237607,422.0070146,409.8704397,248.3331916,351.4898437,298.8823253,327.2131989,441.5780415,346.2198405,614.5569146,883.0921326,705.4504872,358.5731983,434.5938634,449.5752965
Arid2,285.2998407,245.4716112,496.591787,268.8166192,315.9524297,314.4698318,644.1101285,539.1459558,505.4007047,570.4501615,632.0922688,535.3988896,247.8687308,234.455944,266.5755352,219.0313948,148.6946079,180.8841142,177.3285999,174.8488457,174.7880246,116.5688286,136.4926353,121.1193043,219.6386056,177.8155622,233.0849348,278.2583601,290.6842172,283.9258059,177.8290701,222.2488786,254.1259643,280.8925887,269.0601253,129.104222,321.4735031,195.9873902,198.8710773,161.5803675,174.0522212,152.5532897,177.9125646,112.48445,74.81216599,129.6567166,123.0751456,108.0376456,614.403326,419.9763006,452.9534913,192.8036628,216.7282797,199.0829847,161.0772262,176.8780995,180.8569629,238.7267054,318.0091488,263.9518826,267.4073011,420.9929938,360.5226303,160.4353109,185.2476015,172.731809
Arid3a,0,0,0,0,0,0,0,0,34.95926454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.5095414,58.21088321,142.9070299,150.3189554,231.371133,127.0140398,64.94550354,38.11421533,72.37770749,350.4112793,191.785867,290.054184,168.792394,193.3324379,157.9360373,1876.554219,816.2415213,545.5194255,263.1511546,717.1599889,968.6845959,188.2098733,300.0935689,233.0555978,126.4958675,167.5981868,170.3140337
Arid4a,157.5749436,178.1270766,204.3270419,178.703188,154.8410565,262.2918473,354.5603745,316.2235103,324.2659372,323.7987596,299.0681934,315.4575897,249.2395338,292.8423476,299.8130881,279.9461235,219.0204333,234.6123266,222.3410711,174.1279692,197.9833357,199.5238761,181.644142,184.7906166,178.2430342,126.7480683,169.2469904,233.074742,226.587407,244.1313163,145.5719012,159.1529197,188.1524481,65.32533743,157.4607495,136.0040613,179.9662119,127.6376419,119.1855921,300.0297588,293.6848019,270.4793297,287.4897776,221.5929546,122.6956145,278.4178534,213.0446299,214.3437829,563.8656103,441.8319617,461.6601952,365.9426984,344.1311079,362.0560186,384.6191394,321.6818769,320.5508965,439.1393148,504.0820577,479.1716814,284.6992604,428.7839322,353.8214206,244.4202203,302.239155,331.9380261
Arid4b,104.4855136,152.0899821,326.2561454,176.6488121,136.5115689,0,334.6055516,250.7382123,253.0351663,293.0846549,292.6133123,313.3661066,244.218984,233.1242662,231.4663129,187.7715066,148.3743377,174.2612083,155.6062072,124.4890784,145.462765,97.73776743,69.40856137,101.4054534,177.1419735,180.2492329,208.4944077,253.0549423,252.6725084,233.1723508,172.9815674,188.8110585,175.4017518,233.8476903,234.0350077,133.2240973,152.2310295,155.1170661,132.3003479,129.3083128,125.8774539,120.8847652,185.9590186,130.5724202,68.58179055,173.8549357,146.1914729,144.0704952,212.2824614,168.2928675,158.0493475,111.918627,134.4649409,126.4790817,142.2182258,111.0547427,145.0076479,135.8581806,161.1316457,222.9132812,184.8993816,257.6806736,255.7532818,93.02529325,95.23511345,123.7775083
Arid5a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.551218,72.13713886,194.2590602,169.1157171,47.09763027,0,102.8191853,74.16750803,0,0,0,0,0,0,0,62.26594101,89.83017645,0,217.3823024,187.7705412,79.68866617,0,0,0,0,0,0
Arid5b,234.9872826,138.7391101,281.1253085,228.6429863,202.5695827,269.4817101,417.417393,269.694739,274.4536307,262.2075349,252.6689515,254.9537994,100.8907701,29.39667396,160.7851684,156.5755685,139.8997367,155.3652421,135.4743879,88.01488282,136.0928895,105.4931691,78.98410097,145.0919098,81.33998636,34.58316534,44.8555321,150.2720956,117.1436302,155.5283901,123.2556755,73.61916621,101.6107426,135.5304381,86.74609698,118.8469602,130.5597909,163.413733,157.9861099,0,0,67.74415234,62.59749326,40.98448285,0,56.04017825,36.47572244,92.27400216,0,13.30797158,0,0,0,31.71891495,0,0,0,131.4777265,144.3877397,134.8554601,42.29624582,102.1268413,0,0,0,0
Arnt,0,0,313.0281748,136.9643873,88.21701444,0,208.7433242,186.9395937,160.7432882,198.3196697,176.8946657,210.6249494,138.5223812,116.6707986,128.3772751,132.7299301,79.95621696,93.64065285,92.7729812,56.11066268,84.24837275,50.35514667,41.7164138,44.46285055,113.2438372,112.6516284,128.0441317,233.0320451,217.4256309,230.2299743,189.1949742,181.5966832,219.381957,137.3265913,0,45.55273992,129.1595624,119.713548,131.3241608,55.87329885,29.81764093,36.26973187,59.65604775,50.03193975,0,38.891279,0,55.89236564,156.7089396,118.8149489,127.5732133,84.82525535,111.9141979,94.47973513,67.30742348,120.1351467,89.77120314,133.4018292,150.6911861,187.8050564,137.6124251,172.6783193,172.8016446,67.96277963,75.2114725,71.37699555
Arntl,304.1075218,468.5813842,140.9075622,98.8268251,282.9280535,161.0900805,435.5468283,390.0921316,302.1101672,250.1640212,124.933058,273.7327702,0,0,0,148.1883063,135.7532256,105.2607088,154.9551343,92.61299627,51.86394068,123.0867226,76.35801207,86.77090045,185.3132619,119.1996481,204.8143757,325.4910414,387.4779897,293.6219361,203.2437046,253.9468997,313.431265,272.673329,0,145.8003366,278.2211189,198.2359396,259.6931702,0,0,0,0,0,0,0,0,0,0,35.51056327,0,0,0,169.9897187,39.62817907,0,0,64.63220407,0,0,207.3200997,316.4773633,215.1789839,0,0,0
Atf1,1542.483138,1523.000102,1355.708533,1683.516463,1552.940534,1472.121016,1955.115597,1824.086488,1699.920644,1584.683402,1417.072259,1293.556548,1889.372084,2277.343064,2410.882427,2098.645894,1505.719093,1949.065058,1657.340577,1448.752762,1717.363131,1467.719851,1668.713526,1033.89946,1460.552708,1284.999488,1374.215433,1892.463146,2113.699981,1716.683364,1417.176792,1344.391529,1440.239375,865.2592106,1028.400694,870.3030387,1312.10403,1330.051591,1388.587956,1885.886282,1946.969267,1945.169729,1241.20165,1449.479865,1399.873594,1698.688183,1604.044119,1536.219205,2622.695224,1890.201854,2118.692681,2268.990153,2019.508902,2099.931051,1055.49695,3534.974177,1372.915055,1783.283658,2268.257905,1009.221596,1731.013891,2460.375783,1776.051864,1521.53268,1753.065294,1683.099898
Atf2,0,28.33748317,61.4140215,49.56999237,63.30090224,70.88165265,77.70751213,63.74502442,0,64.14841565,77.60641657,79.59478085,81.16574379,81.88432432,97.02595433,66.09289395,52.51640209,52.96691737,149.7004425,33.52740497,46.33686287,19.43845803,7.159910893,17.78609449,54.21516001,75.89790883,68.02671333,95.04751775,129.1994233,139.9806383,119.5355497,60.84780039,123.518582,117.5464822,105.9972912,52.22085412,198.0903177,123.7237505,90.46379181,45.62238048,28.46423873,62.52693282,83.7586654,42.0014502,18.49247962,31.05316233,0,0,50.08859051,26.80603359,42.71944399,26.84066719,41.07446681,31.08823867,0,0,0,38.58907196,0,81.82326235,96.80593088,129.8284595,84.31838252,40.64021585,75.90731599,41.77453324
Atf3,0,0,0,0,0,0,0,138.9560025,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4384544,0,0,181.4381004,156.0019525,195.9226293,223.439644,185.0590363,0,0,319.7800302,348.8863181,0,0,42.09268677,0,155.193442,126.128653,0,0,0,0,0,0,0,0,0,0,0,154.8013691,615.8457379,0,205.9594902,0,0,0,109.2497079,0,0,0,210.9894284,200.8917154,528.8225272,703.6076634,593.6755068
Atf6,0,0,0,0,0,0,0,0,0,0,48.69109202,0,0,0,0,66.53706357,0,0,0,0,0,0,0,0,0,0,0,77.73388147,75.5298188,141.5728625,15.2008696,51.22629079,89.50299998,0,0,0,35.43468371,43.80405355,0,0,0,0,0,0,0,0,0,0,22.61822218,12.10997876,13.65100346,0,0,0,55.43665561,0,0,9.156125516,6.89310898,0,0,102.3564191,96.22416283,37.11090385,38.52880979,57.25589558
Atf6b,0,0,737.8227361,0,0,0,0,0,0,0,0,999.9592471,0,0,0,120.1843848,60.76409166,0,0,0,0,0,0,46.99920602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783.1412175,0,0,0,0,0,0,0,0,0,0,0,1258.216791,0,0,0,0,0,94.85263328,0,0,0,0,0,0,0
Atf7,99.39162357,0,74.70371975,98.04394319,88.29557386,79.19579658,209.8223705,180.4820851,194.8227237,335.5989044,195.4385687,198.5490479,125.6635137,156.0561056,118.4020825,172.4675639,136.9726023,157.3842417,155.7124232,176.9249702,138.0024152,76.79830788,87.95781859,47.5773558,163.2149475,143.8085702,163.3910506,281.9963643,320.2043275,254.6140466,270.4337706,214.2937891,206.1550615,158.1142931,101.3403284,716.5477317,142.3972602,196.6992083,132.3103595,91.74640715,55.11591442,50.75525216,73.77185885,55.33793848,75.22928781,91.31571376,65.69348307,54.56537671,145.1699993,158.3144514,121.5007496,137.3748369,154.5674457,146.1533984,127.6408406,76.44126674,51.15185142,127.941943,238.8493747,228.8565538,150.179898,268.713028,146.2999265,95.21551671,76.88821666,81.37977283
Bach1,14.53479853,26.46286211,77.35475297,79.06796604,54.31802459,80.91401085,128.9365066,81.01248566,94.05771296,103.3986658,108.2158807,0,81.02643436,75.49636356,96.43712129,63.04764771,53.62288661,57.07354053,39.2601641,66.0257706,42.47750518,37.811953,31.85982824,31.92423651,67.11438124,59.5146997,75.43025819,75.2448958,68.89587615,58.36188849,51.05344246,67.76487839,65.88791981,0,228.072471,0,87.63584067,85.73147627,69.13575041,24.25875253,0,0,27.34007908,22.85159545,9.839635127,20.77041632,14.50205627,27.78181244,134.4159656,117.383699,98.05198772,133.0589946,150.5701697,151.8263699,218.0644779,89.36705021,82.12917382,314.2612198,322.4411466,431.7275177,251.2157099,369.1289814,375.9336861,145.2740781,186.5377875,176.489006
Bach2,0,0,0,0,0,0,0,0,0,0,0,0,61.60786794,38.02500785,65.88070738,52.1266229,49.44345063,45.39570497,31.70168518,0,22.66262217,0,0,0,39.57751705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.67072776,214.1179176,48.94087833,77.84062391,112.8609861,182.6842689,122.0152869,101.8579123,98.55850299,78.73002524,86.56189134,77.3213912,137.9776101,145.4511135,154.9896497,0,0,0,0,29.53537157,49.35343985,0,0,0,66.49227036,72.67684993,51.94544553
Batf3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.3749299,117.2545779,128.9220563,0,0,0,0,0,0,0,0,0,0,0,0,25.51674894,23.42780691,27.38401762
Baz2a,258.1415393,336.1351184,400.7651942,251.2529266,276.5581756,237.4910298,518.1950115,444.0674793,485.0598407,563.974847,687.1432108,615.1873606,328.9927015,272.0028261,356.4529244,361.4207525,270.9126188,354.3119988,260.1278549,217.1250567,229.8090817,238.5005545,226.9691017,230.1582345,206.1391151,117.8810937,189.5446793,140.3017016,130.4782972,131.6484473,262.3476061,127.2064114,133.902453,237.2363469,161.2947548,205.909417,223.6542682,219.5099682,254.7845142,216.285843,244.0943264,196.1749473,255.7435271,178.8954286,94.72992105,252.1885222,240.1963344,244.5631529,509.5418387,380.6208976,420.7883567,295.1446312,285.7012715,298.4352422,180.766265,156.8023594,141.2602419,312.407827,454.3962349,390.1750426,318.7117466,559.3200768,453.0544657,192.0892918,255.7134374,237.5609417
Baz2b,22.938371,0,79.72495032,43.02553934,62.50524293,85.94185134,136.7184534,124.8943129,107.0017674,97.19557243,91.39209525,88.85757064,50.00204226,73.10213394,46.66498382,51.44886915,32.16293657,38.37068349,46.73620342,37.16801296,45.59991635,38.96216867,37.75496798,34.00315461,45.97667366,44.69132629,47.44204528,38.53298267,48.133032,36.71631781,28.20334167,35.65233591,32.88234723,0,0,26.23120396,35.12087319,34.05293306,0,0,0,0,37.80317078,27.54268127,15.38335058,23.64952126,0,0,106.9991377,88.19501591,79.03611057,51.76645503,60.31525324,52.18017239,45.48531261,57.17947681,48.63679472,53.77732284,73.0528896,89.1165858,61.03323937,116.8474741,100.1699387,41.21516668,49.78271805,45.59096549
Bbx,0,202.2809218,274.2341557,0,1374.268243,0,214.8934791,188.4601089,213.4987164,304.1751782,219.4920254,288.5758648,0,217.4622367,176.4597621,43.14116232,0,404.7999583,64.15701504,82.33604651,36.6917447,90.72605654,63.56881959,74.31418576,196.8942055,146.1393877,261.0177382,187.7255527,217.7923723,231.9752435,166.7678285,158.8814749,199.0502185,0,0,0,271.9623746,205.9310794,212.984506,82.32738594,89.97073145,194.3082401,98.85847421,89.92676386,56.61504889,164.6852954,93.92351694,119.8808157,288.2735185,202.9331402,218.2759959,0,158.4482865,123.1494352,0,0,0,88.61699953,102.5920309,188.2112557,121.4706992,223.189482,184.5195032,84.10222744,103.5538819,71.59808184
Bcl11a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.6923463,0,337.3886106,208.13605,198.1844565,0,0,0,0,0,0,371.717021,121.9013546,251.3019212,0,0,0,84.09213867,76.71727536,130.6022798,0,0,0,0,90.44641002,135.7660099
Bcl6,0,0,0,0,0,0,0,0,82.48031895,324.1996619,355.8333239,332.6879245,0,0,0,6687.132182,0,0,0,13.92565448,6752.640573,0,0,0,282.3637008,0,696.3904715,196.1834924,215.5668162,216.7039775,92.70783636,159.8232823,169.426133,0,0,316.3054481,0,0,0,0,0,0,184.1619263,157.1744093,99.64358929,0,0,0,474.7560393,442.5844011,419.681694,77.05552297,180.4357712,284.1787209,205.4776487,147.2401843,58.97217122,161.4116335,266.4003631,81.83256279,0,159.9487259,68.58563646,141.3542585,131.3361789,100.3163857
Bclaf1,1594.144753,2247.100039,2724.978939,2835.713773,2808.653239,2649.519748,6036.487351,6141.772989,5954.151807,5593.261696,5706.525086,4865.150308,2406.608408,2299.38843,2485.051985,2600.509081,1899.703076,2365.998018,2215.721162,1757.569592,1975.131669,1755.95607,1511.811926,1564.161707,2499.140056,1659.776688,2001.741965,3429.060489,3532.294043,3314.410545,1840.004175,2102.632861,2690.98389,1880.628459,2157.974011,2185.944584,2573.857579,1895.818282,1752.252105,2475.328994,2902.038116,2804.731022,2649.924323,2484.125298,1815.29424,1680.934911,1565.269959,1687.608736,4811.457076,3191.435607,3886.054499,2989.519994,2545.953403,2680.882221,1120.780249,1716.939823,1104.876346,1908.673438,2505.375848,2224.020922,3509.614838,5858.347274,5088.435817,1920.904823,2720.56522,2422.643708
Bhlhe40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.06554365,0,0,65.70048589,86.67698478,20.46155042,0,0,0,0,91.7633526,0,0,74.94993803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.33837105,0,189.3714244,145.216376,184.9851373,202.2950376,225.5670565,167.965633,0,0,0,0,0,0,144.0252663,272.4015775,148.1186512,65.85398556,71.34102368,57.64413647
Bhlhe41,0,0,0,185.6364628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.3946372,0,0,87.58546216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.4015189,0,0,0,0,0,0,811.06333,0,322.0670008,274.0598194,0,459.6382463,732.456382,1127.627532,0,0,0,0,0,0,493.1271978,579.3073025,512.7179924,0,0,0
Blzf1,120.9260825,150.3658302,168.3270391,210.3502957,284.1968808,207.1780558,205.6991821,162.0403145,141.1927281,153.8672691,125.9517447,85.31101864,79.42322072,92.64588057,45.3411182,105.7118829,74.29052836,97.84753246,73.81653741,58.85977075,63.92486412,47.86642813,67.61409259,58.09888031,143.3736335,49.78744751,55.18230735,177.8036516,188.9497359,190.0539408,127.2303861,131.7030709,168.9788996,123.6348556,0,0,163.1561625,147.6660088,109.1581842,0,0,0,0,0,0,0,0,0,101.848544,0,0,0,0,56.50532546,0,0,0,45.27485344,75.1472596,55.59653201,78.58229774,203.6492391,134.2794743,0,32.30405369,72.61511798
Bnc1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.2146854,209.9416053,231.9157704,0,104.2637526,58.64978844,335.419945,367.7808446,432.423414,0,0,0,659.1483264,461.9737008,412.0093909,0,119.1414497,0,0,0,0,0,0,0,0,0,0,122.1378897,0,0,0,0,0,0,58.15764402,0,0,0,0,0,0,0
Bnc2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.1049805,90.00644607,132.0833402,78.49746948,171.9732985,128.3524214,196.1798792,154.9123739,264.0564522,0,0,0,233.1810441,257.1096142,298.5098761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capn15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3724996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.59162624,29.87158091,0,0,0,70.21605916,33.74239753,0,31.33175019,74.00418601,64.7862835,63.61223685,131.0570939,117.0032996,88.16090495,0,0,0,65.1823744,0,60.99855704,386.71431,670.9637795,587.7124457,46.30560242,58.15619406,0
Carhsp1,777.7084355,832.4424852,475.8883749,585.3799679,543.5165205,538.5678535,1784.354245,1807.542821,1724.66113,1310.863118,1799.225755,1649.0285,4969.521089,5181.124787,6081.698129,4666.727526,3184.429968,3216.498889,4634.249318,3868.204467,3982.983873,650.2125355,696.4523545,607.7162398,2866.103591,2407.223444,2440.659202,2243.328006,2642.624176,2685.408248,5087.824876,5091.44562,6050.799123,561.7644349,513.1015902,566.7643098,3307.400698,4844.091238,4743.676759,170.6683197,176.9309323,119.0438493,180.6974638,178.0002855,123.290955,249.8522931,241.8329183,240.3208668,968.9481755,939.3951464,879.6349325,1106.341074,1294.51818,1166.153139,1807.341213,3447.102549,1939.688485,260.5289709,462.6638839,334.9882576,1599.937759,2011.701192,1677.595599,1023.426945,1268.021382,1167.763803
Casz1,150.97206,127.3470625,165.3991969,127.5733807,85.90211288,112.0150496,325.8204999,294.1472043,570.6115926,260.0883358,175.2074392,190.6730052,216.8911622,270.2879355,319.2688961,244.5996374,158.0169269,214.8723184,166.9254322,133.1596478,212.5820293,114.0949579,106.4621978,97.04977686,0,67.75069799,76.477953,42.4779797,45.35649463,55.40530837,361.0274396,49.75953201,72.00890284,0,0,25.87937504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.08968604,135.2148001,41.70833861,37.07482837,67.88224671,107.7463859,155.1649155,182.0858981,234.81014,0,0,0
