,AT1_1,AT1_2,AT1_3,AT2_1,AT2_2,AT2_3,Ciliated_1,Ciliated_2,Ciliated_3,Club_1,Club_2,Club_3,EC.aerocyte_1,EC.aerocyte_2,EC.aerocyte_3,EC.gCap_1,EC.gCap_2,EC.gCap_3,EC.vascular_1,EC.vascular_2,EC.vascular_3,EC.lymphatic_1,EC.lymphatic_2,EC.lymphatic_3,Pericyte_1,Pericyte_2,Pericyte_3,Fib.WNT2.Palpha_1,Fib.WNT2.Palpha_2,Fib.WNT2.Palpha_3,MANC_1,MANC_2,MANC_3,SMC_1,SMC_2,SMC_3,Mesothelial_1,Mesothelial_2,Mesothelial_3,T_1,T_2,T_3,B_1,B_2,B_3,NK_1,NK_2,NK_3,CD103..cDC1_1,CD103..cDC1_2,CD103..cDC1_3,CD11b..cDC2_1,CD11b..cDC2_2,CD11b..cDC2_3,Neutrophil_1,Neutrophil_2,Neutrophil_3,Monocyte_1,Monocyte_2,Monocyte_3,aM_1,aM_2,aM_3,iM_1,iM_2,iM_3
Nkrf,0,358.0363793,230.0784939,383.5776316,458.4745843,620.2325921,189.2699957,175.1401132,189.7839765,199.8921183,249.1202045,151.320008,246.7542786,293.5088508,344.5137852,273.0188296,192.851116,238.9411604,217.5923496,76.21893637,31.7523092,180.5689446,155.5574291,155.6619395,105.3608574,192.8807514,0,282.9380137,288.7330198,279.0362733,164.2275493,149.4488482,247.1806566,179.2391067,0,229.2601598,168.0748294,337.2674651,172.7015816,188.7242265,155.7540781,183.6905216,212.7346041,120.9496719,76.12521985,133.1479427,118.2730092,92.19789591,211.2181606,188.9675805,156.4199254,245.9976514,430.3305732,295.745923,151.7180829,658.2576239,0,180.653407,305.0801324,140.639091,307.8768411,470.083363,333.7730122,186.349399,206.3041317,194.3793667
Nkx2.1,588.3810969,664.5941238,448.0329984,679.7861196,824.3701314,987.6835102,784.8456919,791.6223125,603.0755329,873.1902279,511.9744895,708.0548406,174.7069575,0,0,0,135.0641622,0,0,0,0,45.35894955,30.37782073,42.80354202,27.35755053,465.9229826,442.7691423,313.3955608,246.1941251,245.4116791,0,281.7293617,355.6060484,0,0,204.2811956,0,0,112.3404675,0,0,144.638336,0,32.75303807,0,29.3947453,0,0,27.34756908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nkx3.2,10071.22501,13149.59606,6451.03321,22417.06527,14137.63148,13301.79353,9775.758607,9572.406686,8585.88084,7844.614256,3866.455261,4494.969868,2318.80945,3822.31783,4455.352366,4184.502676,2685.532405,2637.767647,3679.894179,4954.948303,5118.800302,4104.526231,4947.436237,2925.140982,13363.26864,12473.77513,14159.50953,4376.322293,6621.940403,6231.403088,13402.6725,2545.395956,2980.029618,10244.44529,8854.358144,8131.890629,11656.2407,15714.65022,15633.4192,1903.920517,2396.350787,2702.589589,2572.746524,2930.397731,2159.622626,881.0262538,1599.482337,1147.042253,6260.654925,8738.100266,9001.114147,10241.85156,9188.540247,9416.76431,3000.514775,5351.449518,4325.496621,1078.540629,7564.518354,412.3873361,6520.084926,3784.871465,1962.326173,4763.63667,6983.876841,4008.540524
Nme2,8242.038894,9004.95439,9007.66012,6407.549274,7201.640818,6548.10772,10097.17131,9736.546576,9878.045296,20837.7426,21163.20592,18178.42021,7622.090342,7691.951279,8555.226678,5976.617299,4040.934621,5399.157586,12953.8736,10776.95164,10575.05689,2857.720768,2293.985286,2427.166868,14881.34297,11642.13737,11313.73528,13508.70815,14621.33073,14092.34899,22308.75522,16416.62424,19711.92185,6886.334574,5111.847037,6424.970526,13781.33898,21360.44548,22585.76506,7979.12848,7572.377967,8307.680506,3851.176162,4367.212001,4645.260938,5781.742372,5182.150072,4935.961824,15382.19677,13023.66157,13207.47281,16096.17516,12852.22967,13539.75919,7412.64712,14002.7018,6474.373367,14101.06997,15788.17832,13332.04071,20871.78427,32968.37684,26435.28184,11998.71941,10413.70693,9987.333547
Nr1h2,0,0,0,0,0,0,120.6403338,0,123.9069877,0,120.5383848,0,168.204148,0,132.8638863,0,45.51926612,98.31949703,105.1539551,55.35780022,40.69277655,47.10657857,49.0202249,68.90825366,58.48063962,107.4529799,0,90.63126133,125.4249264,108.6696748,96.96270002,92.57113719,44.47484453,0,0,0,96.90155187,91.52404146,88.58179499,58.29627494,0,63.46041156,0,0,0,70.1530893,68.20220616,66.9437213,120.8901543,138.2613423,113.0534456,87.16976672,149.1479982,154.9445245,0,0,0,59.3405627,122.7705988,73.76279593,72.78141704,183.5258244,114.5175414,62.07910333,93.54420383,69.61773582
Nr2c1,53.11900547,50.4757571,143.2284988,33.70989688,62.06187524,62.10723147,123.7563258,78.17085233,147.801979,177.1451345,171.8299193,106.7664845,68.95601945,57.54009324,52.30757164,80.56940736,38.87982415,75.3323906,47.91597867,37.13288574,38.07739524,34.05783127,23.96838084,25.93799035,65.44689657,34.5887447,67.14901465,125.3306549,115.9370745,113.0717504,82.20394009,71.67993172,89.82723971,0,73.23360914,59.98630984,99.29449632,52.82706596,53.52706422,17.95850876,25.85215399,22.78222481,1.942155631,0,0,0,0,34.14473184,78.51710407,60.08854982,56.34065835,50.70764344,58.30742449,39.65609663,0,0,0,53.81993261,57.92125946,88.1930611,60.12537769,125.8945892,125.4340805,50.31258405,54.68282732,48.31108874
Nr2c2,78.49231472,108.1034215,203.9448161,141.2071325,123.9165105,217.5266219,236.7740799,184.6415411,160.792569,197.9614688,198.7326473,143.9535632,217.2777781,209.7862876,224.6801006,186.9908841,150.352219,172.7829864,168.8826508,151.7042209,150.8086762,84.26804279,66.2597202,63.56763733,154.0790233,129.1938233,134.1062927,233.6710491,219.0384134,189.1615343,124.3763858,147.5857007,204.1900154,99.80886632,81.0509175,82.10289582,165.2325785,142.458427,139.1144687,164.8899607,174.1108799,155.653623,196.4932666,121.1327803,81.97870201,213.3940493,161.140212,178.554091,244.6449126,185.3482199,168.197807,132.9041625,132.1643892,159.3353566,166.3472448,151.9344565,136.0113281,180.5717258,215.954085,174.532505,126.2208249,213.0944807,154.6891236,124.8534517,140.6850205,142.2013968
Nr2f1,279.0040738,0,84.09183497,199.7202218,6671.955822,1044.000573,639.85292,583.6022214,568.7014612,520.3261264,471.045828,377.7475869,5029.273561,4283.363757,6249.039938,437.2360259,458.9244352,992.8594356,745.995026,579.9618929,438.0295001,651.5428029,705.7563487,563.9900958,632.7606988,571.4818995,685.332669,1320.266244,1451.731694,1325.451288,698.9995068,602.3715091,849.7298412,764.5272118,704.2599649,1418.201466,106.7380836,322.5803245,368.6065809,0,0,0,0,0,0,9288.910691,12880.35849,0,0,520.5036975,0,3686.549647,0,0,0,0,0,0,0,0,39.88166424,122.5714749,0,0,0,667.8648118
Nr2f2,0,0,0,202.7572548,0,284.340985,284.2526174,214.7971957,191.3763087,351.0153924,502.9071161,251.5104943,0,679.3233546,0,0,0,0,389.2618369,259.0678504,271.2729181,408.775248,178.7652122,149.7332598,572.456372,256.3414286,320.5399458,1667.670919,1461.364826,1368.553987,470.3018349,484.9254348,728.5517924,488.7720807,360.475861,424.7623693,186.5495048,200.0305064,224.0119594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nr2f6,0,0,0,165.7397475,225.8449906,0,528.4335276,440.0663769,388.5934882,495.5221202,733.8335389,571.5438735,260.7922665,260.3828679,304.7593227,317.0516411,270.4773455,256.3714244,148.6471709,123.5473558,53.02649089,91.74547732,175.2647003,0,300.094101,257.0541008,0,552.3930919,658.0285529,425.3132403,489.2656944,445.5099939,330.7793384,707.037114,806.5310869,0,0,131.6290041,206.9389118,0,0,0,0,0,0,0,0,0,0,0,34.3930552,0,0,0,0,0,0,0,0,0,0,81.87126025,49.40288831,0,0,0
Nr3c1,360.0339367,510.5050932,667.0648954,255.7378687,261.7562348,293.7708584,404.5697263,346.4113706,361.3342483,452.689486,423.5003864,446.4011896,739.6104651,726.9768764,801.9461114,701.7727925,583.2948378,653.2231931,846.2210368,741.1096921,705.734356,438.8447015,326.5623718,326.3750138,805.022392,555.8800226,673.816094,1791.032012,1716.605275,1665.412206,1022.64373,906.4199627,1275.845019,454.3824953,445.7431026,361.0867448,918.928811,993.8845003,1016.942766,282.6926578,257.6138461,257.6136037,253.4028703,188.2129164,140.4313375,359.0276764,304.028547,343.6229011,882.555581,673.4819561,728.5007993,536.3873342,570.7613043,559.1127342,365.3632664,373.7193206,341.1502992,529.9610165,592.950888,500.6712923,731.1407119,1177.378089,942.1685748,506.838332,677.6845015,619.8764448
Nr3c2,0,0,0,0,0,17.56697889,185.4156457,0,94.44713612,216.5946961,307.693954,203.6831026,0,0,0,32.29242536,0,0,0,41.65497775,0,0,79.04505174,0,0,0,0,0,0,0,0,0,0,0,0,0,37.61504081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nr4a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.91091104,0,82.35354705,0,0,0,0,197.2157069,273.3991381,403.5692122,329.0509721,377.1718108,284.9682787,335.3454557,366.3482052,0,0,0,0,0,0,70.02661446,0,0,0,0,81.58119944,97.21844167,54.46780923,0,594.6419808,242.4460872,446.5702448,932.6090017,797.9797375,816.586188,295.0635678,99.41016415,55.10756564,759.1971402,915.9150426,482.1629254,200.5058124,261.860648,221.7142679,401.0172143,492.2238718,452.0446131
Nrf1,608.3059428,709.3838214,886.5620389,658.7171619,781.9777348,751.7532659,1378.118697,1242.385366,1238.234867,931.857131,796.5307965,906.6622086,1190.100052,1158.432238,1335.817126,1368.799384,869.8413824,1117.474294,1105.062856,908.1893982,925.7255861,1155.883222,1116.300712,972.6526357,1118.571732,953.6543606,1116.852831,1146.497736,1189.567363,1062.372312,755.9802999,853.6796827,972.1808742,677.7909488,632.2286631,455.6150199,994.1274893,759.9818127,668.8791217,1387.547404,1451.002824,1454.870327,1075.263382,1002.433881,759.7745492,1244.095339,1017.216128,1037.18707,1503.86578,1141.695675,1231.717015,1017.430962,932.1538444,918.0765088,1030.581556,1234.583521,968.6370914,1140.277689,1518.375378,1237.876896,704.0406285,310.319185,861.0729593,892.8494433,491.6737615,200.0558257
Nsd2,88.61897001,106.0125544,104.0895994,70.04935586,51.95842262,73.63346532,118.2334607,101.1287489,99.96452661,169.3175143,218.6539067,144.4028299,119.9778221,51.49646592,78.91973636,86.19553784,61.10347497,13.1072307,77.04735904,66.79920908,40.40906894,43.45333761,49.06538487,59.64132895,67.18530864,0,165.4959991,64.80562849,54.24868682,67.68045054,0,44.60259568,55.3499592,0,0,20.94603925,105.7793197,55.52520515,60.28345677,51.0012221,53.25302616,23.91308622,0,28.98407764,49.03763798,99.67832303,66.94980306,60.98933588,200.2059821,143.1526944,172.7024525,90.56346799,142.6726,118.6921962,41.89736953,0,0,69.16671503,127.0802237,96.88797135,48.18479459,141.395973,77.49679433,58.37017414,62.57960576,61.39546041
Osr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94523417,3.140669577,0,39.52969106,0,0,73.8046108,0,36.40695735,54.04040181,13.87228123,90.59755417,135.230466,0,0,150.9728467,0,114.5760872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
